summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
lkIEY20psMYooq1YvUxrkQFy55y4AJJtm6rnQ00AoNmeT78,마레리트,585,I,415,359,False,False,False,False,pnipF3Q-MiV7U0OzfGRZAi_zf4CQev8zdTxL7yddqdc2yGFacA4kVvytvUJdQ4an6nFLkQw74EUdCw
1BhMEM-AbVYMFkWD4szxg9_-_1eHGauzAObzBUIaT_CNmg,천하무쌍,404,I,143,111,False,False,True,True,XDG5pFT8_7j9aGd0XXFXtbtXYuwkJBVS0qz7HFc1ClS3Fm7szenDXyFc-HqdZF2EBic8JproNL-ymQ
vVJsLW1W3NfDMKAL_BISLfu4g5fJ7PZKBkqG_pRCc5S1z9I,이 강 히,416,I,367,287,False,False,True,True,RfNYIMb4-008I7axGMNSw3_2N3eoqDH9SGvHok5o0Cwr7v8K0hY2L-7gqgM-Cp37tyxcaR1_riQbUw
vNhnC-vfjyFHZ5R1NClLdtJCDe6yJfQQ772CXBW33Q0hIePOB8Z-BvLqhQ,Twitch 보다,465,I,253,207,False,False,False,True,IxggmBXRQTPU283ZA478tKUwp_5lOy9UOO4Wuk2iW-3lJQuJeZcQtU-tS1cdfc4weJTfh7IqicWXtA
wMzHbPO6ZvHgGoQCxB9A4IRLmFDVeA21P2v-dKb-M0nu_RCsQl2qS7xx8w,love740,544,I,451,398,False,False,False,False,e6ENfu0HTqck299KfhsxxssqW3YfUhmFUQqXv-53BESN_bw4CiRtFY3XpHNdWEoCUU-4ndPqUhocDw
Dp-2hzYgmw_-UlE1FE4xnayViV-gKLTlveB8hyE4l6EtW88,qldurtms,611,I,137,98,False,False,False,False,NqY0wzWjtdi3lZgTAp2aY-hXriIkk01BRfSL8xlQ2awx7apLIQu67Kl5TjV5TZ7DMUzguErdNSyl9A
eSqEkIHwzG6kzOMWU5g8m_wj4O6uSbaTBfHNeNQzdjl9zqCqWq1Hh-FGdA,GGabiyo,436,I,336,289,False,False,False,False,Lj-9cGhl4FsT41wF8KqGTR7KjzbgGkNgPM8wuOdRJ9Hw3IWAyxCQlRyhpBOITGx8I4f-ChqoWGfkDw
25hMCUZ8sXiJqwh3p-3amdxl_J8iwyzTkqDj5LtX_aa_cWQ,담미온 부대국밥,546,I,794,756,True,False,False,False,Wk1Uw2fYXJB8m9TFseByIutIKQnebGcNEUkDmbwSX5__PEp_KJibjhhFVS9frPLeq_OykX8sIdXsyQ
5bRQE5vyVM3A-Ok3VpmGMNMzgVf0Y1up5J_r3ElaXG2um4c,hyc0505,475,I,689,656,True,False,False,False,3Jb2VvhQ5Ud26JhIRBqM6UE2X0Z7br1ypJWai5P5KM-Ln-up7FLtjtOKq9zfGOKXmyzYMaglE4u5ng
YCnqybg-4nejCy_GAyXZcrmw34UZF43Froy37kF68hMljvKV9YK0jm-4gw,식혜커플존버 ,412,I,546,520,False,False,True,False,915wg4IlIpfjyDl3eHyEZDARFirbGbzHsLB4aisKyb5cYizlveGqtrbw2Etcm5WGC1CC02BXza6i6Q
