damageStats_blue,goldPerSecond_blue,jungleMinionsKilled_blue,level_blue,minionsKilled_blue,totalGold_blue,xp_blue,kill_blue,death_blue,assi_blue,tower_blue,tower_shield_blue,win_blue,damageStats_red,goldPerSecond_red,jungleMinionsKilled_red,level_red,minionsKilled_red,totalGold_red,xp_red,kill_red,death_red,assi_red,tower_red,tower_shield_red,win_red,dragon_blue,junr_blue,dragon_red,junr_red
33586,30,68,49,368,28705,31899,12.0,18.0,9.0,,6.0,1.0,38034,30,92,49,334,30303,32881,18.0,12.0,16.0,,6.0,0.0,0.0,,1.0,
26080,30,83,48,397,27675,31126,10.0,13.0,17.0,0.0,7.0,0.0,25048,30,95,48,362,27706,30928,13.0,10.0,18.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0
39776,30,77,48,324,31245,31373,19.0,16.0,21.0,,6.0,1.0,28747,30,77,44,292,25788,28028,16.0,19.0,12.0,,2.0,0.0,1.0,,1.0,
22739,30,102,45,340,27369,28096,9.0,17.0,5.0,1.0,10.0,0.0,29913,30,71,49,358,30584,31587,16.0,9.0,16.0,1.0,9.0,1.0,1.0,1.0,1.0,0.0
25345,30,75,46,302,25400,28412,10.0,17.0,12.0,0.0,4.0,0.0,38670,30,109,49,353,33763,32841,17.0,10.0,19.0,2.0,13.0,1.0,1.0,0.0,0.0,1.0
32550,30,60,47,347,27035,30767,10.0,12.0,17.0,,4.0,1.0,35201,30,96,46,355,27576,28882,12.0,10.0,21.0,,5.0,0.0,1.0,,0.0,
26612,30,64,46,364,28130,29520,13.0,7.0,18.0,1.0,8.0,0.0,21506,30,93,45,326,26633,27361,7.0,13.0,5.0,1.0,8.0,1.0,0.0,0.0,1.0,1.0
30485,30,62,42,218,22028,24937,6.0,21.0,3.0,0.0,4.0,0.0,36027,20,100,46,283,29516,31395,21.0,6.0,13.0,2.0,11.0,1.0,0.0,0.0,2.0,1.0
39009,30,84,49,364,33777,33331,18.0,9.0,17.0,1.0,12.0,1.0,34131,30,68,44,317,24240,27568,9.0,19.0,10.0,0.0,3.0,0.0,,1.0,,0.0
27685,30,78,47,424,29016,30595,11.0,16.0,8.0,2.0,13.0,0.0,30140,30,109,48,333,31052,31197,16.0,11.0,19.0,2.0,10.0,1.0,0.0,0.0,2.0,1.0
21900,30,76,46,368,27085,29002,10.0,10.0,10.0,1.0,7.0,1.0,23228,30,109,46,360,26275,29238,10.0,10.0,9.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0
26120,30,76,46,343,27744,29751,11.0,16.0,9.0,1.0,10.0,1.0,34491,30,104,46,322,27959,30159,16.0,11.0,18.0,0.0,5.0,0.0,0.0,,1.0,
28543,30,81,42,307,23915,26043,5.0,10.0,7.0,1.0,6.0,0.0,27610,30,100,49,354,27485,31517,10.0,5.0,11.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0
31606,30,129,49,376,31287,32367,14.0,3.0,28.0,2.0,14.0,1.0,18749,30,84,42,271,21151,25207,3.0,14.0,3.0,0.0,2.0,0.0,2.0,,0.0,
17368,30,98,47,421,27196,31440,8.0,7.0,6.0,1.0,8.0,1.0,18556,30,101,46,386,25577,29912,7.0,8.0,8.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0
42161,30,102,49,374,35730,32624,18.0,9.0,24.0,3.0,14.0,1.0,28278,30,55,42,271,24098,26012,9.0,18.0,18.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
18033,30,70,44,327,22907,26284,5.0,14.0,4.0,0.0,4.0,0.0,33336,30,122,49,373,32955,32957,14.0,5.0,17.0,3.0,13.0,1.0,0.0,0.0,1.0,1.0
26194,30,94,46,347,28154,29619,8.0,14.0,12.0,,10.0,1.0,23595,30,52,44,313,27552,27874,14.0,8.0,19.0,,4.0,0.0,1.0,1.0,0.0,0.0
