leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries,puuid
b04f03c0-27be-4650-b841-afc92da9a15c,RANKED_SOLO_5x5,DIAMOND,I,-PgjZZKD-1M38LRkH8GCEnb_FnFEv-7Q0e3pawdENmOdVXSt,bie mo wo,100,831,811,False,False,False,False,"{'target': 3, 'wins': 2, 'losses': 2, 'progress': 'WLWLN'}",H2sugVbPJb3dI0u-QNaKexxuKlhMfVRTkuu-gkdW4bM_73ukdwaA-Znkr0Qw1mdhVRt-MvUrVE8Dlw
7bcfad3d-8763-499e-9b3c-ca900cc153f3,RANKED_SOLO_5x5,DIAMOND,I,0OLW5VwNHmGPKA9bA6_iTmnBPyFrR9NnLCXV1A5s7ZdxxJQ,호 챠,42,409,344,False,False,False,False,,OR-7qOXZapkgPcHYhbsuN40klMjrTB2FHKVTj6Og4gXT1Teyu0HOAzZbzdaexJbiU_QXfPUIkoapig
93c8156a-6662-4260-9136-907fe4f75f23,RANKED_SOLO_5x5,DIAMOND,I,3ab1adtNWGidvfAcigtr2Riw3qApPo6JaurSkfO5wu87bWE,IGOLNIK,62,619,561,False,False,False,True,,xrW9-d0_G0j1wiEgkdeRO3gSxy92dUOB5twegzqcKEucPXtyP1iefghgZ_M9swsXDd13X6j94oksUg
65e9a369-bacd-45e7-a999-866d98274c13,RANKED_SOLO_5x5,DIAMOND,I,r4P9ruK66BNAmoZpCY-LPTl8npBye_2jUHocj9O7okhob-s,BBD Ba Bi Di Boo,97,101,32,False,False,False,True,,Ce2quG9mAjoasQXYwfI4Ks_R5whGmdF2AhFZSpCujN9se1V7ErAvlhisdJ_A08G3ifzmfdaoWvdWoQ
a1f9bd5c-8bfb-4b0b-9dd8-6bbf45afcf2f,RANKED_SOLO_5x5,DIAMOND,I,IYoWF70pMt0vduZ876GJvixAGTjznmVuL08lCRoQlLXh4QVZ,Qurellia,40,274,229,False,False,False,False,,ZoxUytJ53FtMQcQDVdPC8lXC8DUSZc-ZnllwOVytfLT95uCjJ1Cf1HKlFPn3iJqmOebXKMTw2uxSXg
e1476109-3914-45fc-b072-f0d7387220c1,RANKED_SOLO_5x5,DIAMOND,I,10YSVFzGf9kz1SmnZyY6oZQdFgOEfBgtC7Gi92HDYf-_RC1P,Knight Kingdom,18,423,357,False,False,False,False,,QxaYrbPgFpC-_zGpPujzhATKoGwZeIW7n_e-nub43UBMPKD18fnzQBDcQh-Lgd5yz5GVTvi7VM1JJQ
38013376-215d-4ff3-ab70-36e1be531723,RANKED_SOLO_5x5,DIAMOND,I,ow74mNUsyO5PSYT48x9FLGOp2S7lswNX7jEwZHhbhTCcvpiN,아레나올사람,19,708,617,False,False,True,False,,Oq2NtXP_ocfaZ9BiHW7KBLik1kZIpmE0XBbckjwnZyp0koiXEQC5vPObB5hCJTpneG9emheQoSkDXA
1c371b23-35ea-474c-915a-aaccef42021a,RANKED_SOLO_5x5,DIAMOND,I,l3HkMK2uhURmGHxwd3aR7wdQt6zpy3-1tV55hFU-tN1IwSE,봉담쭈니,55,190,129,False,False,False,False,,mbnfrbzpkZX3j-2Ck0CFkztSgKSAMiotu2oG3HOsUNayqua-QJ2NXW0Beo5yn-8EHhffPtOH5nrQeA
07075691-9af2-4d5b-b2c5-bc5e11b6d658,RANKED_SOLO_5x5,DIAMOND,I,XJy969Ali0B_MFJO6L9FU0nZR--XD6aCgbm-kf9FZEM3bACA,Guozhi hao,53,594,551,False,False,False,True,,v1DSekg2PLnMHR1Vnl2n82f7baQRzzZMTQjejDfSu86ZIDihNuUsyL6ekTmkrYBZ2KTpDw56INLojA
e15fbc90-55e3-4897-87f2-c970181901ff,RANKED_SOLO_5x5,DIAMOND,I,pqzMCYTLhu5iajlkQil2HzV8Nqob53VNjhF2HUeA1hwgoplB,별이 가득한 여름밤에 우린,81,167,164,False,False,False,True,,xrSMKDLZ2bjTMV4JkSLZlfqmpceipvmjYFadu5PBYxWnLLJdklXy7yVN-hGa9kJUv4-kDU-VLUb2Vg
