summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
eA8_zBUTDQk3jgi76mkgoEYVWQQIMJ-jyOuXoTtpuPn17yY,Shadow HamBak ,1123,I,294,224,False,False,False,False,rnigJVoEuiMAPnCQ9EyC62dKyLRGEkOEec7G5FGqlT5-Ogm5xQSKMiLkH6mxjM8cRRcT3ro4Xzbtvg
aX0qrXCjk7xpw479HE37z0ubyzyeWN0mNDFdHGnC-F6zd87nKLlnEaPNeQ,이스포츠 프롬,763,I,230,171,False,False,False,False,-goFwdODSavMvEGZmwXQW2-T3zFj33Ph3gNMtogcz7GJoOCL32caBZ7MTSWsUyqLajgpKjC_OBEpoA
qsoecSWREeqBZZKyB9TusNrq9maIMOilqumJKu6zsDYcozs,행복하고싶다하하,814,I,634,587,False,False,False,False,oI2fiS5R-2_jRht317Q49iS_salnIhy6pcAaQUvNRHYxR0S4ThB-pJ7KmFYGRUqVc4IsQ4mvtNYhuw
H_5BpcSlg3DmtgbDhFbNMNx5sp7787aXpm5tUgN6sqJfWq4,어리고싶다,977,I,506,445,False,False,True,False,fmq2myGNDnLazsikXHKDQHFr6QLzoxKUHthzLU4ji1jzW7Y_YnHr-QNGDZ4-cQU9fZTJy3bOCihZeA
mb-Kmmte5C7ZPASRlEPabs8wSDWE9XN3pfaQXgjsRxcajSEo,Mung,981,I,306,223,False,False,False,False,55xGg3eForO0uDQeMlh_kiIsRBbWvPtvYdZ2kcumfAk7c1rsLyC28JEjO_8JroFG5bcbRtzY0F0tQw
hpgUMkGDU0dA5qj4lXGcDSskc75PfeoSKTvqrEMDwLkUhCA,yyyyyzyyy,1054,I,458,388,False,False,False,True,ghQpEaPCIizhngSqjkXDv6zJ-qfWzrudN8tpRcU-aJbkpTqdNdbNII7tb7AaVepmaGZ7MehGkLTM3g
BGZCL3mQh53XmNYAXckytKLnuFr-RSoWZ1HDrGs2sNUquuI,LSB Winter,1064,I,989,919,False,False,False,False,kGnbP1DH45DLXGpJPookGq02eXk3rZr1bIrdYMgSVanGknIBpmcjHVEy7zyqiW1vT_srV_U5pveJxA
TpaqQJeMghWntBxiDHSN_rOiETp3fPhu9Lg6N4skdWqhdEw,KT 5kld,839,I,388,334,True,False,False,False,w0cv8JVlXv4Zhuod1ylAOpK7khsU6kXcLhzXePDHe2EF9qdhaELW_8ZolVMLcFVXvO-lUJ_xuNrR4g
YRcjADZTmi9YT8D88x1BRbJpFtnop3a2l7mRPGY6XzyqVHc,T1 Ellim,939,I,353,286,True,False,False,False,ipVZ_nqWxdegg9w3MxclY567NLRkd9ApInDBg4YjI0YdU1fWQNjoQR30x9-Gj6Vh_8958x82n4WREA
vnO5SDVIDqWvQS9z54tDnNZO50hD9e5wzuOrLfTt86bYP9tBKY_5bXyBuQ,fa 01 top,934,I,431,354,False,False,False,False,rPd9ubFOEc5sCqiNDvhgEq8ebw8Ozd1WdYP5gGKRkIOeem_wE_QA8Ds7q5btkwicuMAxsqI6jFq7DQ
