summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
0xnCMFKsnxpHWU5l_0V4nm-M36Jjz6fbfPCHYRx1HZpBlG4,시 JinPing,62,I,316,296,False,False,False,False,2-zpnCJjR538mPGRGzs9upPM3DnRyFRQjiQN1mEd6RhS7uTFRJeCfnGiCvXxkhGojL7bsJ1idIK8uA
KllZnxfc9h_SKfDGlgbuBJVZySZ-6cUwpLuhQzBtfiKw9vA,주인공병걸린원딜,79,I,119,93,False,False,False,False,nVYKxh0vH1d3xN3DjefDDG1JUlzWh1fZX7cbLBZuupExL1wOLiQUxH2L_GJk7X5UzP92Wqo5n2ficA
hXzUkYZq-S8owiLJ7pYI7aBUkQCRqqrfAl5Q4905pL9zdw,Jerang2,35,I,353,311,False,False,False,True,YJ4wB74S2N-Qdp5ZXylFIufPi3LC6r1nTTyijq0nYGB1nnwP5y0_S51NtiE7tH70s3CdE48WE1isWg
nIEVbpqqZ3mPD9iF7oBw8Kr4Zg9w5236LX7iSfu2FDB2jPnEAHPnSVLriA,BzhanTv23301392,67,I,129,95,False,False,False,False,MpiDSjJAzGH7-Cbeyn5lLTQLOquqzI-_HROJJCumD0UBp6ZuhzsxDAWD1mZwpbOKs9ropQeI67Legw
3xiV429IpnEis4PZgpO_-uVLfJG6Mm8El5vlBhz8D16ysfI,Wana Kim,37,I,738,715,False,False,False,False,bdQGOB3DZ51mOaV2qbqTXvpG0WUrqoNoHCopUFJPOsM6bwhUjeYtENeIf71crzNiINIkdjA0wnn42A
ezl_iahSkXuf4Snj4dl-U6IzuAg6AP_p3xdNvMACXzP23fY,Gen G Mulgae,46,I,124,88,False,False,True,False,emQsHoKWOm4QYJ8wXpGRt2k8vX2ZXCkWdWUb3w6zgjNYeDip6zH5PK0tkZ2CCAn3JTIzxEyVSXGQHA
A0NOEE2oICckqBVhrvGZrCf4Em3vhpaObAuYMbG-N_4Cjzs,화 균,66,I,417,401,False,False,False,False,llIdGGtqra4LGlluPqArfOQeNia45oi5_Wz7u1mHbJ9fRMxmpzGg0ZpJVNLh2tH94ESH035_cTLjUw
BjSfjywpj0ulKzGOhm2T9WJqywqB5PX4isP6QFjrdzFGEw,one last 1 ,0,I,193,167,False,False,True,False,ApTcKh57A2J079kWttEQ5qa7O0rM-iZ6mxwDoZRL6v58Pl9MU4NeM8DCs9swkyMISXWn9LGGY2ej6g
fihZZSzXVOHy4dS5T9NM1FcjzYSollHUU-0eHBnKfjz0g1I,서렌누르면평범함,54,I,359,311,False,False,False,False,IbU91D1CWHX_DS4BMzKWtA0Q7bvm785iVwfZyKMaDRC8ge4mRLzNrdQgSuwQogCENsMKbyljUdpZaA
sdMuqsJz22pNTdJF4YH7DGaLersb1EPHGWxdAGGO0VSNifg,사라갈올람,135,I,170,131,False,False,False,False,MG9XsmmpfDMh8hPa6RGHfPHqcGjxtOEtizwAvTDkoFLciixBqJrMdLOhp_gfmk4jDg0ebwz2OvT_tA
