leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries,puuid
3417f549-857c-4394-b9fe-feb7ffc633c9,RANKED_SOLO_5x5,DIAMOND,I,sA1FOW8lJ-4FEEjQr4pi8kuonWJ-5Dvr8tJKss1Njbl3xks,헤으응 눈냐,1,141,131,False,False,False,False,,vNw2-KB8cW0stpf-rNjbCOdeCUguJDEz1Xp0QxaWhK0YhuMxTHpJpFY4OIMvVrwFaPyQCng2CnUpag
acba32e7-ee2c-4d10-8668-c80d3ab56d0a,RANKED_SOLO_5x5,DIAMOND,I,EbvAE2Qe7qq6p5vuKrsfJ5cb8p1jl3C4j4Covg_3_bnT64U,Busmeta,19,216,216,False,False,False,False,,lR3Cc5liw-r3q3P4GPJ1WzOXwNO5KNY2ME_EKPkyxT8dKxL5eCK99HkUNQTPrUl99W5zZLg57kjQCQ
7d703a98-a7ad-45c1-ad3a-7f5bdf95d009,RANKED_SOLO_5x5,DIAMOND,I,lgkEeRwGpIoqAEGRnu86ioJf2YNEDZZe79Ug7UXJPAZDtvs,그렇고 그런 사이,3,241,230,False,False,False,False,,DTNURI62lQZPuJvstqrw2quJjzQUyqpGgosrj6u6i44RLNF7C7sA5cDuoTiyAp3ZxtyVr37g7zkO2A
1df46f3d-998a-4731-9c53-b595ad4eee09,RANKED_SOLO_5x5,DIAMOND,I,qmsx0yujQe2aEic3GDWF3txpWWjyOOBjtuNGRMa6oZHmjg,Big Cherry Pye,0,92,63,False,False,False,False,,muo-INMF9zOt-RW252SX1bc8dWQ1SUwXpGfXf6uYR-LemNks_CDptJV4dLb7zaTg7CcyaNsVXtAojQ
2c911199-5833-4cea-a5ca-43cb53fd71d5,RANKED_SOLO_5x5,DIAMOND,I,TSRHBj-QJgAvibPmIM8ZKtfF3xXluzYItdy8N0-f1a6NG5c,강키코모리,25,38,26,False,False,False,False,,1jDwXOeIMsdz-wuJZOdu1lbUZF1OPjw844t-Eu284bgyNZrLgYEAb219iNvMDS6Hxwn743Jz2ewG4Q
72083162-bf8e-4588-82cb-0915ad2e8d78,RANKED_SOLO_5x5,DIAMOND,I,eAL_pwZqijhViFAfGAvcb9k-ppUKh7IjFXhbTOSkFQKgUcA,뀰 디,9,368,332,False,False,False,True,,nYSnwGnQj6R5pvoHKx2voi9eRociK7BCHdi73X3pIfnrqc2Qb2Ftq0yu6LMf6X-VcdnVQDSVzJKlkg
b980ff64-d151-4604-a13e-b34babf60c8c,RANKED_SOLO_5x5,DIAMOND,I,861UbLfzTWbAWO4-bMwj8PTGH2XK4wjWARVuISoAAhl8xbE,E편한티어,19,67,53,False,False,False,True,,shVNYdGY_WtR7Tc11fvz5wSyIzIEO8oiXoWNaeCs7IHCQ3J0nuktOQ1QsbQhFkr8gCNk8_X0Zky4LA
841729fc-7765-4e72-8d11-2f9da5102968,RANKED_SOLO_5x5,DIAMOND,I,vQWrxSbzS9iNkDWPuWti1VqFSJ_U-AGMMtiYrvtadgLUqd8,도구탓전문장인,19,198,152,False,False,False,False,,-a8ydevXma7-BMSWIoclTTO_Q7tLxv6VHezuDEpKDTEaRJLgrrzggv-9zu5Gi8r5mGkqf_c5ZPtpoQ
5d6d361f-c049-4b08-ad37-40d58c47d731,RANKED_SOLO_5x5,DIAMOND,I,Cb-0PtRaNAkRIA--pHqll8XcDajFLr7AcXmmrJkLvpGHDQ,Lusted,19,159,117,False,False,False,False,,LRlTh43qfNVcxiSbbJLh5OWSFjdsom7Ay_UG_X1C7LfDxMdlh93H7ief9qwfegg2cgxp3jKoaeY0-A
f20579b2-ffc4-47bd-b800-4488c737b19d,RANKED_SOLO_5x5,DIAMOND,I,NGN1ho8XGGo5NozI1rK9OvTcDbi7PXzhBR316Ed1Z-FMMw4,제라스애착남,69,70,40,False,False,False,True,,VOdfhNnM9SAgoC4-oqfgQ_KcXVbZ0KVfzBWkuRipevx034iNRp99x6VH1hWVl8DSf8fl-oQPrPlkug
